journal,title,duration,month-year,date,data-date,description,media-url,author-name1,author-name2,author-name3,doi1,doi2,doi3,special-issue-title,special-issue-link,other-link,comments
ACS Chemical Biology,Interview with Aaron Wright,8:38,February 2016,,Date_201602,"ACS Chemical Biology editors highlight articles from Volume 11, Issue 2 and speak with author, Aaron Wright, who provides new mechanistic insight into the transport of nutrients across microbial cell membranes.",http://pubs.acs.org/pb-assets/audio/acbcct/acbcctv11n02.mp3,Aaron Wright,,,10.1021/acschembio.5b00918,,,,,,
ACS Chemical Biology,Interview with Liliana Quintanar and John Schneekloth,13:30,January 2016,,Date_201601,"ACS Chemical Biology editors highlight articles from Volume 11, Issue 1 and speak with authors, Liliana Quintanar, who provides new mechanistic insight into the link between metal ions and cataracts and John Schneekloth who has identified a new approach to target cancer.",http://pubs.acs.org/pb-assets/audio/acbcct/acbcctv11n01.mp3,Liliana Quintanar,John Schneekloth,,10.1021/acschembio.5b00919,10.1021/acschembio.5b00577,,,,,
ACS Chemical Biology,Interview with Gomika Udugamasooriya and Uwe Rix ,12:08,December 2015,,Date_201512,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 12 and speak with authors, Gomika Udugamasooriya, who provides a new approach to target lung cancer and Uwe Rix who identifies new targets for lung cancer therapeutics.",http://pubs.acs.org/pb-assets/audio/acbcct/acbcctv10n12.mp3,Gomika Udugamasooriya,Uwe Rix,,10.1021/acschembio.5b00592,10.1021/acschembio.5b00368,,,,,
ACS Chemical Biology,Interview with Morgan Huse,6:07,November 2015,,Date_201511,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 11 and speak with author, Morgan Huse, who provides a new approach to track signal transduction in single cells.",http://pubs.acs.org/subscribe/journals/acbcct/audio/acbcctv10n11.mp3,Morgan Huse,,,10.1021/acschembio.5b00372,,,,,,
ACS Chemical Biology,Interview with Xuefei Huang and Will Pomerantz,12:59,October 2015,,Date_201510,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 10 and speak with author, Xuefei Huang, who provides some important insight pertinent to anti-cancer vaccine development, and Will Pomerantz, who has developed a robust way to identify new bromodomain probe molecules.",http://pubs.acs.org/subscribe/journals/acbcct/audio/acbcctv10n10.mp3,Xuefei Huang,Will Pomerantz,,10.1021/acschembio.5b00406,10.1021/acschembio.5b00483,,,,,
ACS Chemical Biology,Interview with Matthew Bogyo,5:30,September 2015,,Date_201509,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 9 and speak with author, Matthew Bogyo, who reports new imaging probes to assist with cancer-related surgery.",http://pubs.acs.org/subscribe/journals/acbcct/audio/acbcctv10n9.mp3,Matthew Bogyo,,,10.1021/acschembio.5b00205,,,,,,
ACS Chemical Biology,Interview with Keith Choe,5:27,August 2015,,Date_201508,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 8 and speak with author, Keith Choe, who reports a compound which improves the potency of drugs against nematodes.",http://pubs.acs.org/subscribe/journals/acbcct/audio/acbcctv10n8.mp3,Keith Choe,,,10.1021/acschembio.5b00304,,,,,,
ACS Chemical Biology,Interview with Gerald Bills and Hai-Lung Dai,25:08,July 2015,,Date_201507,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 7 and speak with author, Gerald Bills, reports some potent new antifungals, and Hai-Lung Dai, whose paper should change the way we think about the Gram Stain.",http://pubs.acs.org/subscribe/journals/acbcct/audio/acbcctv10n7.mp3,Gerald Bills,Hai-Lung Dai,,10.1021/acschembio.5b00013,10.1021/acschembio.5b00042,,,,,
ACS Chemical Biology,Interview with Matthew Hartman and Miriam Gochin,17:37,May 2015,,Date_201505,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 5 and speak with author, Matthew Hartman, who talks about a novel strategy to target protein-protein interactions, and Miriam Gochin, who reports a new inhibitor targeting HIV.",http://pubs.acs.org/subscribe/journals/acbcct/audio/acbcctv10n5.mp3,Matthew Hartman,Miriam Gochin,,10.1021/cb500757u,10.1021/cb501021j,,,,,
ACS Chemical Biology,Interview with Karl Griswold,8:39,April 2015,,Date_201504,"ACS Chemical Biology editors highlight articles from Volume 10, Issue 4 and speak with author Karl Griswold who talks about an alternative strategy to chemotherapies through the engineering of bacteriolytic enzymes.",http://pubs.acs.org/subscribe/journals/acbcct/audio/acbcctv10n4.mp3,Karl Griswold,,,10.1021/cb500976y,,,,,,
