journal,title,duration,month-year,date,data-date,description,title1,title2,media-url,author-name1,author-name2,author-name3,doi1,doi2,doi3,special issue title,special-issue-link,other-link,comments
Analytical Chemistry,Interview with Lingjun Li and Erin Gemperline,15:27,April 2016,,Date_201604,"Mass Spectrometry in Plant-omicsErin Gemperline, Caitlin Keller, and Lingjun Li DOI: 10.1021/acs.analchem.5b02938",Mass Spectrometry in Plant-omics,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-April-2016.mp3,"Erin Gemperline, Caitlin Keller, and Lingjun Li",,,10.1021/acs.analchem.5b02938,,,,,,
Analytical Chemistry,Interview with Marcos Eberlin and Sebastiaan Teunissen,19:16,March 2016,,Date_201603,"Forensic Chemistry and Ambient Mass Spectrometry: A Perfect Couple Destined for a Happy Marriage?Deleon N. Correa, Jandyson M. Santos, Livia S. Eberlin, Marcos N. Eberlin, and Sebastiaan F. Teunissen DOI: 10.1021/acs.analchem.5b02397",Forensic Chemistry and Ambient Mass Spectrometry: A Perfect Couple Destined for a Happy Marriage?,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-March-2016.mp3,"Deleon N. Correa, Jandyson M. Santos, Livia S. Eberlin, Marcos N. Eberlin, and Sebastiaan F. Teunissen",,,10.1021/acs.analchem.5b02397,,,,,,
Analytical Chemistry,Interview with Mike Kristo,12:19,February 2016,,Date_201602,"Nuclear Forensics: Scientific Analysis Supporting Law Enforcement and Nuclear Security Investigations
Elizabeth Keegan, Michael J. Kristo, Kaitlyn Toole, Ruth Kips, and Emma Young
DOI: 10.1021/acs.analchem.5b02915",Nuclear Forensics: Scientific Analysis Supporting Law Enforcement and Nuclear Security Investigations,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham-feb2016-podcast.mp3,"Elizabeth Keegan, Michael J. Kristo, Kaitlyn Toole, Ruth Kips, and Emma Young",,,10.1021/acs.analchem.5b02915,,,,,,
Analytical Chemistry,Interview with Nicholas M. Riley and Joshua J. Coon,13:25,January 2016,,Date_201601,Phosphoproteomics in the Age of Rapid and Deep Proteome Profiling Nicholas M. Riley and Joshua J. Coon DOI: 10.1021/acs.analchem.5b04123,Phosphoproteomics in the Age of Rapid and Deep Proteome Profiling,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham-jan2016-podcast.mp3,Nicholas M. Riley and Joshua J. Coon,,,10.1021/acs.analchem.5b04123,,,,,,
Analytical Chemistry,Interviews with Christy Haynes & Klaus Mayer,15:26,December 2015,,Date_201512,"Characterization of Magnetic Nanoparticles in Biological Matrices 
Katie R. Hurley, Hattie L. Ring, Hyunho Kang, Nathan D. Klein, and Christy L. Haynes 
DOI: 10.1021/acs.analchem.5b02229 
Interviewing a Silent (Radioactive) Witness through Nuclear Forensic Analysis Klaus Mayer, Maria Wallenius, and Zsolt Varga DOI: 10.1021/acs.analchem.5b01623",Characterization of Magnetic Nanoparticles in Biological Matrices,Interviewing a Silent (Radioactive) Witness through Nuclear Forensic Analysis,http://pubs.acs.org/subscribe/journals/ancham/audio/analytical_chem_dec2015.mp3,"Katie R. Hurley, Hattie L. Ring, Hyunho Kang, Nathan D. Klein, and Christy L. Haynes","Klaus Mayer, Maria Wallenius, and Zsolt Varga",,10.1021/acs.analchem.5b02229,10.1021/acs.analchem.5b01623,,,,,
Analytical Chemistry,"Interviews with Wei Chen, Erin Carlson & Andrew Johnson",20:31,November 2015,,Date_201511,Application of Mass Spectrometry in the Synthesis and Characterization of Metal NanoclustersYizhong Lu and Wei Chen DOI: 10.1021/acs.analchem.5b00848Collision-Induced Dissociation Mass Spectrometry: A Powerful Tool for Natural Product Structure ElucidationAndrew R. Johnson and Erin E. Carlson DOI: 10.1021/acs.analchem.5b01543,Application of Mass Spectrometry in the Synthesis and Characterization of Metal Nanoclusters,Collision-Induced Dissociation Mass Spectrometry: A Powerful Tool for Natural Product Structure Elucidation,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical_Chemistry-Podcast-November-2015.mp3,Yizhong Lu and Wei Chen,Andrew R. Johnson and Erin E. Carlson,,10.1021/acs.analchem.5b00848,10.1021/acs.analchem.5b01543,,,,,
Analytical Chemistry,Interviews with Wei-Wei Zhao & Amanda Hummon,15:06,October 2015,,Date_201510,"Quantum Dots: Electrochemiluminescent and Photoelectrochemical Bioanalysis Wei-Wei Zhao, Jing Wang, Yuan-Cheng Zhu, Jing-Juan Xu, and Hong-Yuan Chen DOI: 10.1021/acs.analchem.5b00497 Mass Spectrometry Imaging of Therapeutics from Animal Models to Three-Dimensional Cell Cultures Xin Liu and Amanda B. Hummon DOI: 10.1021/acs.analchem.5b00419",Quantum Dots: Electrochemiluminescent and Photoelectrochemical Bioanalysis,Mass Spectrometry Imaging of Therapeutics from Animal Models to Three-Dimensional Cell Cultures,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-October-2015.mp3,"Wei-Wei Zhao, Jing Wang, Yuan-Cheng Zhu, Jing-Juan Xu, and Hong-Yuan Chen",Xin Liu and Amanda B. Hummon,,10.1021/acs.analchem.5b00497,10.1021/acs.analchem.5b00419,,,,,
Analytical Chemistry,Interview with Gert Desmet,7:20,September 2015,,Date_201509,"Graphical Data Representation Methods To Assess the Quality of LC Columns Gert Desmet, Deirdre Cabooter, and Ken Broeckhoven DOI: 10.1021/ac504473p",Graphical Data Representation Methods To Assess the Quality of LC Columns,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical_Chemistry-Podcast-September-2015.mp3,"Gert Desmet, Deirdre Cabooter, and Ken Broeckhoven",,,10.1021/ac504473p,,,,,,
Analytical Chemistry,Interview with Philippe Dauphin-Ducharme,9:51,August 2015,,Date_201508,Surface Analytical Methods Applied to Magnesium Corrosion Philippe Dauphin-Ducharme and Janine Mauzeroll DOI: 10.1021/ac504576g,Surface Analytical Methods Applied to Magnesium Corrosion,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical_Chemistry-Podcast-August-2015.mp3,Philippe Dauphin-Ducharme and Janine Mauzeroll,,,10.1021/ac504576g,,,,,,
Analytical Chemistry,Interview with Liam McDonnell,15:40,July 2015,,Date_201507,"Current State and Future Challenges of Mass Spectrometry Imaging for Clinical Research Ruben D. Addie, Benjamin Balluff, Judith V. M. G. Bovée, Hans Morreau, and Liam A. McDonnell DOI: 10.1021/acs.analchem.5b00416",Current State and Future Challenges of Mass Spectrometry Imaging for Clinical Research,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham_podcast_july2015.mp3,"Ruben D. Addie, Benjamin Balluff, Judith V. M. G. Bovée, Hans Morreau, and Liam A. McDonnell",,,10.1021/acs.analchem.5b00416,,,,,,
