Title,Authors,Year,Journal,Volume,Issue,Pages,DOI,Image
Atomic Layer Deposition of AlF<sub>3</sub> Thin Films Using Halide Precursors,"Miia Mäntymäki, Mikko J. Heikkilä, Esa Puukilainen, Kenichiro Mizohata, Benoît Marchand, Jyrki Räisänen, Mikko Ritala, and Markku Leskelä",2015,Chemistry of Materials,27,2,604-611,10.1021/cm504238f,/pb-assets/images/selects/cm504238f.jpeg
"Thermal Atomic Layer Deposition of Titanium Films Using Titanium Tetrachloride and 2-Methyl-1,4-bis(trimethylsilyl)-2,5-cyclohexadiene or 1,4-Bis(trimethylsilyl)-1,4-dihydropyrazine","Joseph P. Klesko, Christopher M. Thrush, and Charles H. Winter",2015,Chemistry of Materials,27,14,4918-4921,10.1021/acs.chemmater.5b01707,/pb-assets/images/selects/acs.chemmater.5b01707.jpeg
Combined Ligand Exchange and Substitution Reactions in Atomic Layer Deposition of Conformal Ge<sub>2</sub>Sb<sub>2</sub>Te<sub>5</sub> Film for Phase Change Memory Application,"Taeyong Eom, Taehong Gwon, Sijung Yoo, Byung Joon Choi, Moo-Sung Kim, Iain Buchanan, Sergei Ivanov, Manchao Xiao, and Cheol Seong Hwang",2015,Chemistry of Materials,27,10,3707-3713,10.1021/acs.chemmater.5b00805,/pb-assets/images/selects/acs.chemmater.5b00805.jpeg
Nucleation and Growth of the HfO<sub>2</sub> Dielectric Layer for Graphene-Based Devices,"Il-Kwon Oh, Jukka Tanskanen, Hanearl Jung, Kangsik Kim, Mi Jin Lee, Zonghoon Lee, Seoung-Ki Lee, Jong-Hyun Ahn, Chang Wan Lee, Kwanpyo Kim, Hyungjun Kim, and Han-Bo-Ram Lee",2015,Chemistry of Materials,27,17,5868-5877,10.1021/acs.chemmater.5b01226,/pb-assets/images/selects/acs.chemmater.5b01226.jpeg
Al<sub>2</sub>O<sub>3</sub> on Black Phosphorus by Atomic Layer Deposition: An in Situ Interface Study,"Hui Zhu, Stephen McDonnell, Xiaoye Qin, Angelica Azcatl, Lanxia Cheng, Rafik Addou, Jiyoung Kim, Peide D. Ye, and Robert M. Wallace",2015,ACS Applied Materials & Interfaces,7,23,13038-13043,10.1021/acsami.5b03192,/pb-assets/images/selects/acsami.5b03192.jpeg
Growth and Characterization of Al<sub>2</sub>O<sub>3</sub> Atomic Layer Deposition Films on sp<sup>2</sup>-Graphitic Carbon Substrates Using NO<sub>2</sub>/Trimethylaluminum Pretreatment,"Matthias J. Young, Charles B. Musgrave, and Steven M. George",2015,ACS Applied Materials & Interfaces,7,22,12030-12037,10.1021/acsami.5b02167,/pb-assets/images/selects/acsami.5b02167.jpeg
Real-Time Observation of Atomic Layer Deposition Inhibition: Metal Oxide Growth on Self-Assembled Alkanethiols,"Jason R. Avila, Erica J. DeMarco, Jonathan D. Emery, Omar K. Farha, Michael J. Pellin, Joseph T. Hupp, and Alex B. F. Martinson",2014,ACS Applied Materials & Interfaces,6,15,11891-11898,10.1021/am503008j,/pb-assets/images/selects/am503008j.jpeg
Self-Correcting Process for High Quality Patterning by Atomic Layer Deposition,"Fatemeh Sadat Minaye Hashemi, Chaiya Prasittichai, and Stacey F. Bent",2015,ACS Nano,9,9,8710-8717,10.1021/acsnano.5b03125,/pb-assets/images/selects/acsnano.5b03125.jpeg
Sub-nanometer Atomic Layer Deposition for Spintronics in Magnetic Tunnel Junctions Based on Graphene Spin-Filtering Membranes,"Marie-Blandine Martin, Bruno Dlubak, Robert S. Weatherup, Heejun Yang, Cyrile Deranlot, Karim Bouzehouane, Frédéric Petroff, Abdelmadjid Anane,†Stephan Hofmann, John Robertson, Albert Fert, and Pierre Seneor",2014,ACS Nano,8,8,7890-7895,10.1021/nn5017549,/pb-assets/images/selects/nn5017549.jpeg
Size-Tuned ZnO Nanocrucible Arrays for Magnetic Nanodot Synthesis via Atomic Layer Deposition-Assisted Block Polymer Lithography,"Chun-Hao Lin, Srinivas Polisetty, Liam O’Brien, Andrew Baruth, Marc A. Hillmyer, Chris Leighton, and Wayne L. Gladfelter",2015,ACS Nano,9,2,1379-1387,10.1021/nn505731n,/pb-assets/images/selects/nn505731n.jpeg
