journal,title,duration,month-year,date,data-date,description,media-url,author-name1,author-name2,author-name3,doi1,doi2,doi3,special-issue-title,special-issue-link,other-link,comment
Journal of the American Chemical Society,JACS Cover Art Podcast #1: Interview with Robert G. Griffin,6:56,"January 14, 2009",1/14/09,Date_20090114,"Listen online or download to your MP3 player a brief interview with Robert G. Griffin, author of ""In Situ Temperature-Jump Dynamic Nuclear Polarization: Enhanced Sensitivity in Two Dimensional 13C-13C Correlation Spectroscopy in Solution"" featured on the cover of the January 14, 2009 issue of the journal. This premiere issue of JACS for 2009 marks the first time in 131 years that the journal has featured author-submitted art on its cover. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACSBeta-Griffin-Podcast1-January-2009.mp3,Robert G. Griffin,,,10.1021/ja805521y,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #2: Interview with Amir H. Hoveyda,5:27,"January 21, 2009",1/21/09,Date_20090121,"Listen online or download to your MP3 player a brief interview with Amir H. Hoveyda, author of ""Ag-Catalyzed Diastereo- and Enantioselective Vinylogous Mannich Reactions of _-Ketoimine Esters. Development of a Method and Investigation of its Mechanism"" featured on the cover of the January 21, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACSBeta-Hoveyda-Podcast2-January-2009.mp3,Amir H. Hoveyda,,,10.1021/ja8062315,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #3: Interview with Jiaxing Huang,6:47,"January 28, 2009",1/28/09,Date_20090128,"Listen online or download to your MP3 player a brief interview with Jiaxing Huang, author of ""Langmuir_Blodgett Assembly of Graphite Oxide Single Layers"" featured on the cover of the January 28, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACSBeta-Huang-Podcast2-January-2009.mp3,Jiaxing Huang,,,10.1021/ja806262m,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #4: Interview with Chuo Chen,7:47,"February 4, 2009",2/4/09,Date_20090204,"Listen online or download to your MP3 player a brief interview with Chuo Chen, author of ""Synthesis and Structure Revision of Nakiterpiosin"" featured on the cover of the February 4, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Chen-Podcast-Feb-2009.mp3,Chuo Chen,,,10.1021/ja808110d,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #5: Interview with Chi-Ming Che,5:23,"February 11, 2009",2/11/09,Date_20090211,"Listen online or download to your MP3 player a brief interview with Chi-Ming Che, author of ""Platinum(II) Complexes with Dipyridophenazine Ligands as Human Telomerase Inhibitors and Luminescent Probes for G-Quadruplex DNA"" featured on the cover of the February 11, 2009 issue of the journal.",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Che-Podcast3-Feb-2009.mp3,Chi-Ming Che,,,10.1021/ja806045x,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #6: Interview with Marc A. Hillmyer and Michael D. Ward,9:15,"February 25, 2009",2/25/09,Date_20090225,"Listen online or download to your MP3 player a brief interview with Marc A. Hillmyer and Michael D. Ward, authors of ""Manipulating Crystal Orientation in Nanoscale Cylindrical Pores by Stereochemical Inhibition"" featured on the cover of the February 25, 2009 issue of the journal.",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Ward-Hillmyer-Podcast-Feb-2009.mp3,Marc A. Hillmyer,Michael D. Ward,,10.1021/ja807193s,10.1021/ja807193s,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #7: Interview with Christina Africh,5:44,"March 11, 2009",3/11/09,Date_20090311,"Listen online or download to your MP3 player a brief interview with Cristina Africh, author of ""Effects of Lattice Expansion on the Reactivity of a One-Dimensional Oxide"" featured on the cover of the March 11, 2009 issue of the journal.",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Africh-Podcast-March-2009.mp3,Cristina Africh,,,10.1021/ja808100f,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #8: Interview with Mikko Ritala,7:47,"March 18, 2009",3/18/09,Date_20090318,"Listen online or download to your MP3 player a brief interview with Mikko Ritala, author of ""Atomic Layer Deposition of Metal Tellurides and Selenides Using Alkylsilyl Compounds of Tellurium and Selenium"" featured on the cover of the March 18, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Ritala-Podcast1-March-2009.mp3,Mikko Ritala,,,10.1021/ja8090388,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #9: Interview with Michael K. Gibson,11:28,"March 25, 2009",3/25/09,Date_20090325,"Listen online or download to your MP3 player a brief interview with Michael K. Gilson, author of ""Host_Guest Complexes with Protein_Ligand-like Affinities: Computational Analysis and Design"" featured on the cover of the March 25, 2009 issue of the journal.",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Gilson-Podcast-March-2009.mp3,Michael K. Gilson,,,10.1021/ja808175m,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #10: Interview with Nicholas V. Hud,7:17,"April 29, 2009",4/20/09,Date_20090429,"Listen online or download to your MP3 player a brief interview with Nicholas V. Hud, author of ""Solution Structure and Thermodynamics of 2',5' RNA Intercalation"" featured on the cover of the April 29, 2009 issue of the journal.",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Hud-Podcast-April-2009.mp3,Nicholas V. Hud,,,10.1021/ja810068e,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #11: Interview with Ira A. Weinstock,17:12,"May 13, 2009",5/13/09,Date_20090513,"Listen online or download to your MP3 player a brief interview with Ira A. Weinstock, author of ""Flexible Pores of a Metal Oxide-Based Capsule Permit Entry of Comparatively Larger Organic Guests"" featured on the cover of the May 13, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Beta-Weinstock-Podcast-May-2009.m4a,Ira A. Weinstock,,,10.1021/ja900452d,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #12: Interview with Sharon Hammes-Schiffer,11:14,"May 27, 2009",5/27/09,Date_20090527,"Listen online or download to your MP3 player a brief interview with Sharon Hammes-Schiffer, author of ""Theoretical Analysis of the Unusual Temperature Dependence of the Kinetic Isotope Effect in Quinol Oxidation"" featured on the cover of the May 27, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Cover-Art-Podcast-June-2009-Enhanced%202.m4a,Sharon Hammes-Schiffer,,,10.1021/ja9001184,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #13: Interview with Alexander Wei,7:26,"July 22, 2009",7/22/09,Date_20090722,"Listen online or download to your MP3 player a brief interview with Alexander Wei, author of ""Gyromagnetic Imaging: Dynamic Optical Contrast Using Gold Nanostars with Magnetic Cores"" featured on the cover of the July 22, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS%20Podcast%20July%202009.m4a,Alexander Wei,,,10.1021/ja901562j,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #14: Interview with Beatriu Escuder and Juan F. Miravet,5:52,"August 19, 2009",8/19/09,Date_20090819,"Listen online or download to your MP3 player a brief interview with Beatriu Escuder and Juan F. Miravet, authors of ""Switchable Perfomance of an l-Proline-Derived Basic Catalyst Controlled by Supramolecular Gelation"" featured on the cover of the August 19, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS%20General%20Cover%20Art%20Podcast%20August%202009.m4a,Beatriu Escuder,Juan F. Miravet,,10.1021/ja902589f,10.1021/ja902589f,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #15: Interview with Daniel Rauh,13:30,"September 23, 2009",9/23/09,Date_20090923,"Listen online or download to your MP3 player a brief interview with Daniel Rauh, author of ""Development of a Fluorescent-Tagged Kinase Assay System for the Detection and Characterization of Allosteric Kinase Inhibitors"" featured on the cover of the September 23, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS%20Podcast%20September%202009.m4a,Daniel Rauh,,,10.1021/ja902010p,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #16: Interview with Tekshik P. Yoon,7:56,"October 21, 2009",10/21/09,Date_20091021,"Listen online or download to your MP3 player a brief interview with Tehshik P. Yoon, author of ""Crossed Intermolecular [2+2] Cycloadditions of Acyclic Enones via Visible Light Photocatalysis"" featured on the cover of the October 21, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Podcast-October-2009.m4a,Tehshik P. Yoon,,,10.1021/ja903732v,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #17: Interview with James R. Rustad and William H. Casey,8:04,"November 18, 2009",11/18/09,Date_20091118,"Listen online or download to your MP3 player a brief interview with James R. Rustad and William H. Casey, authors of ""Isotope-Exchange Dynamics in Isostructural Decametalates with Profound Differences in Reactivity"" featured on the cover of the November 18, 2009 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS%20Cover%20Art%20Podcast%20November%202009%202.m4a,James R. Rustad,William H. Casey,,10.1021/ja905166c,10.1021/ja905166c,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #18: Interview with Howard Katz,7:14,"April 21, 2010",4/21/10,Date_20100421,"Listen online or download to your MP3 player a brief interview with Howard Katz, author of ""Ladder-Type Oligo-p-phenylene-Containing Copolymers with High Open-Circuit Voltages and Ambient Photovoltaic Activity"" featured on the cover of the April 21, 2010 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Cover-Art-April-2010.mp3,Howard Katz,,,10.1021/ja909111p,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #19: Interview with Brian Hoffman,7:27,"June 30, 2010",6/30/10,Date_20100630,"Listen online or download to your MP3 player a brief interview with Brian Hoffman, author of ""Experimental and Theoretical EPR Study of Jahn Teller-Active [HIPTN3N]MoL Complexes (L = N2, CO, NH3)"" featured on the cover of the June 30, 2010 issue of the journal.",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Cover-Art-June-2010.mp3,Brian Hoffman,,,10.1021/ja1004619,,,,,,
Journal of the American Chemical Society,JACS Cover Art Podcast #20: Interview with Kirk Gustafson,4:53,"August 4, 2010",8/4/10,Date_20100804,"Listen and view images as Kirk Gustafson discusses his group’s research, and cover art, which is featured along with the work of Tadeusz Molinski on the August 4, 2010 issue of JACS. Artwork from this cover is featured in the 100th JACS Beta Image Challenge.",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-Cover-Art-August-2010.mp3,Kirk Gustafson,,,,,,,,http://pubs.acs.org/JACSbeta/challenge/challenge100.html,other link is in description
Journal of the American Chemical Society,JACS Cover Art Podcast #21,9:20,"October 27, 2010",10/7/10,Date_20101027,"Listen online or download to your MP3 player a brief interview with Yasuyuki Tezuka, author of ""Effective Click Construction of Bridged- and Spiro-Multicyclic Polymer Topologies with Tailored Cyclic Prepolymers (kyklo-Telechelics)"" featured on the cover of the October 27, 2010 issue of the journal. ",http://pubs.acs.org/JACSbeta/coverartpodcasts/JACS-October-2010-Enhanced-Podcast.m4a,Yasuyuki Tezuka,,,10.1021/ja103402c,,,,,,
