journal,title,duration,month-year,date,data-date,description,media-url,author-name1,author-name2,author-name3,author-sentence,doi1,doi2,doi3,special issue title,special-issue-link,other-link,comments
ACS Polymer Science,ACS Polymer Science Podcast - April 2016,15:45,April 2016,,Date_201604,"Managing Editor, Paulomi Majumder, interviews Drs. Sarah Canning and Gregory Smith from Prof. Steven Armes’ group, who coauthored a Perspective with him on RAFT-mediated polymerization-induced self-assembly.",http://pubs.acs.org/pb-assets/audio/polymer/polymer-podcast-apr2016.mp3,Sarah Canning,Gregory Smith,,Sarah Canning and Gregory Smith,10.1021/acs.macromol.5b02602,10.1021/acs.macromol.5b02602,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - March 2016,11:08,March 2016,,Date_201603,"Managing Editor, Paulomi Majumder, interviews Prof. Christopher Ellison, about his Viewpoint published in ACS Macro Letters on photopatterning of block copolymer thin films.",http://pubs.acs.org/pb-assets/audio/polymer/polymer-podcast-mar2016.mp3,Christopher Ellison,,,Christopher Ellison,10.1021/acsmacrolett.6b00075,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - February 2016,14:00,February 2016,,Date_201602,"This is a special podcast on the Virtual Issue published by ACS Macro Letters, titled Stimuli-Responsive Polymers for Biological Detection & Delivery. Managing Editor, Paulomi Majumder, interviews Prof. Theresa Reineke, Associate Editor of ACS Macro Letters, who edited this virtual themed compilation.",http://pubs.acs.org/pb-assets/audio/polymer/polymer-podcast-feb2016.mp3,Theresa Reineke,,,Theresa Reineke,,,,,/page/amlccd/vi/biological-detection-delivery.html,,
ACS Polymer Science,ACS Polymer Science Podcast - January 2016,13:14,January 2016,,Date_201601,"This is a special podcast on the Virtual Issue published by Biomacromolecules, titled Click Chemistry in Biomaterials, Nanomedicine and Drug Delivery. Managing Editor, Paulomi Majumder, interviews Prof. Harm-Anton Klok, who along with Prof. Kristi Anseth, both Associate Editors of Biomacromolecules, organized this virtual themed compilation.",http://pubs.acs.org/subscribe/journals/mamobx/audio/polymer-podcast-jan2016.mp3,Harm-Anton Klok,Kristi Anseth,,Harm-Anton Klok and Kristi Anseth,,,,,http://pubs.acs.org/page/bomaf6/vi/biomaterials-nanomedicine.html,,
ACS Polymer Science,ACS Polymer Science Podcast - December 2015,14:33,December 2015,,Date_201512,"Managing Editor, Paulomi Majumder, interviews Dr. Daniela Russo, about her article published in Biomacromolecules on understanding the dynamics of biodegradable protein-polymer conjugates.",http://pubs.acs.org/subscribe/journals/mamobx/audio/polymer-podcast-de2015.mp3,Daniela Russo,,,Daniela Russo,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - November 2015,11:35,November 2015,,Date_201511,"Managing Editor, Paulomi Majumder, interviews Prof. Enrique Gomez, about his Perspective published in Macromolecules on development of conjugated block copolymers for photovoltaics.",http://pubs.acs.org/subscribe/journals/mamobx/audio/nov2015_polymer.mp3,Enrique Gomez,,,Enrique Gomez,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - October 2015,9:56,October 2015,,Date_201510,"Managing Editor, Paulomi Majumder, interviews Prof. Christophe Sinturel, who published a Viewpoint along with Profs. Frank Bates & Marc Hillmyer in ACS Macro Letters offering a perspective into the chemistry of a special class of polymers known an high χ polymers.",http://pubs.acs.org/subscribe/journals/mamobx/audio/oct2015_polymer.mp3,Christophe Sinturel,Frank Bates,Marc Hillmyer,"Christophe Sinturel, Frank Bates, and Marc Hillmyer",,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - September 2015,10:54,September 2015,,Date_201509,"Managing Editor, Paulomi Majumder, interviews Prof. Ingo Pinnau, to discuss his article published in Macromolecules on evaluation of polymers of intrinsic microporosity or PIMs.",http://pubs.acs.org/subscribe/journals/mamobx/audio/sept2015_polymer.mp3,Ingo Pinnau,,,Ingo Pinnau,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - August 2015,8:45,August 2015,,Date_201508,"Managing Editor, Paulomi Majumder, interviews Prof. Kenichi Kuroda, whose article published in Biomacromolecules reported a new use for synthetic polymers functionalized with catechol groups as dental adhesives.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-August-2015.mp3,Kenichi Kuroda,,,Kenichi Kuroda,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - July 2015,6:50,July 2015,,Date_201507,"Managing Editor, Paulomi Majumder, interviews Prof. Brent Sumerlin, one of the recipients of the 2015 Biomacromolecules/Macromolecules Young Investigator Award, sponsored by the journals ACS Macro Letters, Biomacromolecules, and Macromolecules in partnership with the ACS Division of Polymer Chemistry.",http://pubs.acs.org/subscribe/journals/amlccd/audio/polymer_science072015.mp3,Brent Sumerlin,,,Brent Sumerlin,,,,,,http://pubs.acs.org/page/pr/awards/biomac-macro-young-investigator-2015.html,
ACS Polymer Science,ACS Polymer Science Podcast - June 2015,8:21,June 2015,,Date_201506,"Managing Editor, Paulomi Majumder, interviews Prof. Matthew Becker, one of the recipients of the 2015 Biomacromolecules/Macromolecules Young Investigator Award, sponsored by the journals ACS Macro Letters, Biomacromolecules, and Macromolecules in partnership with the ACS Division of Polymer Chemistry.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-June-2015.mp3,Mathew Becker,,,Mathew Becker,,,,,,http://pubs.acs.org/page/pr/awards/biomac-macro-young-investigator-2015.html,
ACS Polymer Science,ACS Polymer Science Podcast - May 2015,13:02,May 2015,,Date_201505,"Managing Editor, Paulomi Majumder, interviews Prof. Gregory Grason, whose Viewpoint published in ACS Macro Letters highlights recent advances in experimental and theoretical studies that help us better undertstand chirality transfer in block copolymer melts.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-May-2015.mp3,Gregory Grason,,,Gregory Grason,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - April 2015,9:40,April 2015,,Date_201504,"Managing Editor, Paulomi Majumder, interviews Prof. Mike Williamson, regarding his Perspective article with Prof. Tetsuo Asakura and coworkers published in Macromolecules on the structural analyses of the Bombyx mori silk fibroin.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-April-2015.mp3,Mike Williamson,,,Mike Williamson,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - February 2015,19:47,February 2015,,Date_201502,"Managing Editor, Paulomi Majumder, interviews Prof. Julia Kornfield, regarding her Article published in Biomacromolecules on visible-light-initiated photopolymerization of heparin-based hydrogels and Prof. Mitchell Anthamatten whose Letter presenting a new class of rubber-like material capable of shape actuation in the absence of any external loads is published in ACS Macro Letters and is also selected as part of ACS Editors' Choice.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-February-2015.mp3,Julia Kornfield,Mitchell Anthamatten,,Julia Kornfield and Mitchell Anthamatten,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - January 2015,17:39,January 2015,,Date_201501,"Managing Editor, Paulomi Majumder, interviews Dr. Pieter Espeel, regarding his Perspective published in Macromolecules along with Prof. Filip Du Prez to mark a decade of click chemistry in polymer science and Dr. Frances Allen whose Letter presenting a combination of analytical and tomographic electron microscopy techniques to provide new insights into the structure of Nafion is published in ACS Macro Letters and is also selected as part of ACS Editors' Choice.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-January-2015.mp3,Pieter Espeel,Frances Allen,,Pieter Espeel and Frances Allen,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - December 2014,13:57,December 2014,,Date_201412,"Managing Editor, Paulomi Majumder, interviews two authors from the polymer journals whose articles were featured in ACS Editors' Choice: Professor Jean-François Lutz about his Viewpoint published in ACS Macro Letters on a new category of copolymers, termed as aperiodic copolymers, and Professor Yong Wang whose article on a new method for surface functionalization via polymerization of affinity ligands was published in Biomacromolecules. For more details on ACS Editors' Choice, please visit http://pubs.acs.org/editorschoice/
",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-December-2014.mp3,Jean-François Lutz,Yong Wang,,Jean-François Lutz and Yong Wang,,,,,,http://pubs.acs.org/editorschoice/,
ACS Polymer Science,ACS Polymer Science Podcast - November 2014,07:19,November 2014,,Date_201411,"Managing Editor, Paulomi Majumder, interviews the 2014 ACS Chemistry Champion, Jennifer Novotney, a polymer science graduate student at Cornell University in Prof. William Dichtell's research group. For more details on this year's contest please visit http://bit.ly/1EWlhhw
",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-November-2014.mp3,Jennifer Novotney,,,Jennifer Novotney,,,,,,http://bit.ly/1EWlhhw,
ACS Polymer Science,ACS Polymer Science Podcast - October 2014,16:14,October 2014,,Date_201410,"Managing Editor, Paulomi Majumder, interviews Professor Bryan Boudouris about his Perspective in Macromolecules on the application of radical polymers to organic electronic devices and Professor José Pomposo whose Viewpoint on molecular architecture of single-chain nanoparticles was published in ACS Macro Letters.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-October-2014.mp3,Bryan Boudouris,José Pomposo,,Bryan Boudouris and José Pomposo,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - September 2014,20:22,September 2014,,Date_201409,"Managing Editor, Paulomi Majumder, interviews Professor Alyssa Panitch about her Review article in Biomacromolecules on macromolecular approaches for improving coronary intervention and Professor Karen Winey whose Letter on polymer diffusion through nanocomposites was published in ACS Macro Letters.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-September-2014.mp3,Alyssa Panitch,Karen Winey,,Alyssa Panitch and Karen Winey,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - August 2014,20:05,August 2014,,Date_201408,"Managing Editor, Paulomi Majumder, interviews Professor Ian Manners about his Perspective on metalloblock copolymers published in Macromolecules and Professor Andrea Kasko, whose Viewpoint on carbohydrate polymers as potential immune modulators appeared in ACS Macro Letters.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-August-2014.mp3,Ian Manners,Andrea Kasko,,Ian Manners and Andrea Kasko,,,,,,,
