Volume,Year,DOI,Journal,Title,Issue-info,toc_href,Authors,Image,article-link
28,2016,10.1021/acs.chemmater.5b04616,Chem. Mater.,High-Figure-of-Merit Thermoelectric La-Doped A-Site-Deficient SrTiO<sub>3</sub> Ceramics," (3), pp 925–935",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2016/cmatex.2016.28.issue-3/acs.chemmater.5b04616/20160222/images/large/cm-2015-04616a_0012.jpeg,"Zhilun Lu, Huairuo Zhang, Wen Lei, Derek C. Sinclair, and Ian M. Reaney*",/pb-assets/images/selects/cmatex/20160420/acschemmater5b04616.jpeg,/doi/abs/10.1021/acs.chemmater.5b04616
28,2016,10.1021/acs.chemmater.5b04239,Chem. Mater.,"Synthesis, Crystal Structure, and Thermoelectric Properties of Na<sub>2+<i>x</i></sub>Al<sub>2+<i>x</i></sub>Sn<sub>4–<i>x</i></sub> (<i>x</i> = −0.38, –0.24)"," (2), pp 601–607",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2016/cmatex.2016.28.issue-2/acs.chemmater.5b04239/20160120/images/large/cm-2015-04239j_0008.jpeg,"Masahiro Kanno, Takahiro Yamada*, Hisanori Yamane, and Hideaki Nagai",/pb-assets/images/selects/cmatex/20160420/acschemmater5b04239.jpeg,/doi/abs/10.1021/acs.chemmater.5b04239
28,2016,10.1021/acs.chemmater.5b03952,Chem. Mater.,Glass-like Lattice Thermal Conductivity and Thermoelectric Properties of Incommensurate Chimney-Ladder Compound FeGe<sub>γ</sub>," (2), pp 529–533",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2016/cmatex.2016.28.issue-2/acs.chemmater.5b03952/20160120/images/large/cm-2015-03952t_0005.jpeg,"Naoki Sato*, Hideyasu Ouchi, Yoshiki Takagiwa, and Kaoru Kimura",/pb-assets/images/selects/cmatex/20160420/acschemmater5b03952.jpeg,/doi/abs/10.1021/acs.chemmater.5b03952
28,2016,10.1021/acs.chemmater.5b04365,Chem. Mater.,"Band Degeneracy, Low Thermal Conductivity, and High Thermoelectric Figure of Merit in SnTe–CaTe Alloys"," (1), pp 376–384",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2016/cmatex.2016.28.issue-1/acs.chemmater.5b04365/20160106/images/large/cm-2015-04365b_0013.jpeg,"Rabih Al Rahal Al Orabi*, Nicolas A. Mecholsky, Junphil Hwang, Woochul Kim, Jong-Soo Rhyee, Daehyun Wee, and Marco Fornari",/pb-assets/images/selects/cmatex/20160420/acschemmater5b04365.jpeg,/doi/abs/10.1021/acs.chemmater.5b04365
27,2015,10.1021/acs.chemmater.5b03708,Chem. Mater.,High Thermoelectric Performance SnTe–In<sub>2</sub>Te<sub>3</sub> Solid Solutions Enabled by Resonant Levels and Strong Vacancy Phonon Scattering," (22), pp 7801–7811",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-22/acs.chemmater.5b03708/20151118/images/large/cm-2015-03708t_0014.jpeg,"Gangjian Tan, Wolfgang G. Zeier, Fengyuan Shi, Pengli Wang, G. Jeffery Snyder, Vinayak P. Dravid, and Mercouri G. Kanatzidis*",/pb-assets/images/selects/cmatex/20160420/acschemmater5b03708.jpeg,/doi/abs/10.1021/acs.chemmater.5b03708
27,2015,10.1021/acs.chemmater.5b03365,Chem. Mater.,Nanostructural and Microstructural Ordering and Thermoelectric Property Tuning in Misfit Layered Sulfide [(LaS)<sub><i>x</i></sub>]<sub>1.14</sub>NbS<sub>2</sub>," (22), pp 7719–7728",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-22/acs.chemmater.5b03365/20151118/images/large/cm-2015-033652_0010.jpeg,"Priyanka Jood, Michihiro Ohta*, Oleg I. Lebedev, and David Berthebaud",/pb-assets/images/selects/cmatex/20160420/acschemmater5b03365.jpeg,/doi/abs/10.1021/acs.chemmater.5b03365
27,2015,10.1021/acs.chemmater.5b03808,Chem. Mater.,Coinage-Metal-Stuffed Eu<sub>9</sub>Cd<sub>4</sub>Sb<sub>9</sub>: Metallic Compounds with Anomalous Low Thermal Conductivities," (21), pp 7508–7519",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-21/acs.chemmater.5b03808/20151104/images/large/cm-2015-03808d_0010.jpeg,"Nasrin Kazem, Julia V. Zaikina, Saneyuki Ohno, G. Jeffrey Snyder, and Susan M. Kauzlarich*",/pb-assets/images/selects/cmatex/20160420/acschemmater5b03808.jpeg,/doi/abs/10.1021/acs.chemmater.5b03808
27,2015,10.1021/acs.chemmater.5b02329,Chem. Mater.,Tin Telluride-Based Nanocomposites of the Type AgSn<sub><i>m</i></sub>BiTe<sub>2+<i>m</i></sub> (BTST-<i>m</i>) as Effective Lead-Free Thermoelectric Materials," (21), pp 7296–7305",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-21/acs.chemmater.5b02329/20151104/images/large/cm-2015-02329s_0014.jpeg,"Oliver Falkenbach, Andreas Schmitz, Torben Dankwort, Guenter Koch, Lorenz Kienle, Eckhard Mueller*, and Sabine Schlecht",/pb-assets/images/selects/cmatex/20160420/acschemmater5b02329.jpeg,/doi/abs/10.1021/acs.chemmater.5b02329
27,2015,10.1021/acs.chemmater.5b02933,Chem. Mater.,Polar Transition-Metal Chalcogenide: Structure and Properties of the New Pseudo-Hollandite Ba<sub>0.5</sub>Cr<sub>5</sub>Se<sub>8</sub>," (20), pp 7110–7118",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-20/acs.chemmater.5b02933/20151021/images/large/cm-2015-02933c_0011.jpeg,"Robin Lefèvre, David Berthebaud*, Olivier Perez, Denis Pelloquin, Sylvie Hébert, and Franck Gascoin",/pb-assets/images/selects/cmatex/20160420/acschemmater5b02933.jpeg,/doi/abs/10.1021/acs.chemmater.5b02933
27,2015,10.1021/acs.chemmater.5b02405,Chem. Mater.,Influence of Compensating Defect Formation on the Doping Efficiency and Thermoelectric Properties of Cu<sub>2-y</sub>Se<sub>1–<i>x</i></sub>Br<sub><i>x</i></sub>," (20), pp 7018–7027",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-20/acs.chemmater.5b02405/20151021/images/large/cm-2015-02405v_0009.jpeg,"Tristan W. Day, Kai S. Weldert, Wolfgang G. Zeier, Bor-Rong Chen, Stephanie L. Moffitt, Ulrike Weis, Klaus P. Jochum, Martin Panthöfer, Michael J. Bedzyk, G. Jeffrey Snyder*, and Wolfgang Tremel",/pb-assets/images/selects/cmatex/20160420/acschemmater5b02405.jpeg,/doi/abs/10.1021/acs.chemmater.5b02405
