Volume,Year,DOI,Journal,Title,Issue-info,toc_href,Authors,Image,article-link
49,2016,10.1021/acs.accounts.6b00078,Acc. Chem. Res.,Computational Studies on Cinchona Alkaloid-Catalyzed Asymmetric Organic Reactions," (6), pp 1250–1262",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00078/20160615/images/large/ar-2016-00078g_0034.jpeg,"Gamze Tanriver, Burcu Dedeoglu, Saron Catak*, and Viktorya Aviyente",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00078.jpeg,/doi/abs/10.1021/acs.accounts.6b00078
49,2016,10.1021/acs.accounts.6b00111,Acc. Chem. Res.,Mechanism of Rh-Catalyzed Oxidative Cyclizations: Closed versus Open Shell Pathways," (6), pp 1263–1270",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00111/20160615/images/large/ar-2016-00111g_0013.jpeg,"Yoonsu Park, Seihwan Ahn, Dahye Kang, and Mu-Hyun Baik*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00111.jpeg,/doi/abs/10.1021/acs.accounts.6b00111
49,2016,10.1021/acs.accounts.6b00054,Acc. Chem. Res.,First-Principles Molecular Dynamics Studies of Organometallic Complexes and Homogeneous Catalytic Processes," (6), pp 1271–1278",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00054/20160615/images/large/ar-2016-00054r_0008.jpeg,"Pietro Vidossich, Agustí Lledós, and Gregori Ujaque*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00054.jpeg,/doi/abs/10.1021/acs.accounts.6b00054
49,2016,10.1021/acs.accounts.6b00204,Acc. Chem. Res.,Computational Insights into the Central Role of Nonbonding Interactions in Modern Covalent Organocatalysis," (6), pp 1279–1291",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00204/20160615/images/large/ar-2016-00204b_0026.jpeg,"Daniel M. Walden, O. Maduka Ogba, Ryne C. Johnston, and Paul Ha-Yeon Cheong*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00204.jpeg,/doi/abs/10.1021/acs.accounts.6b00204
49,2016,10.1021/acs.accounts.6b00194,Acc. Chem. Res.,The Development of Multidimensional Analysis Tools for Asymmetric Catalysis and Beyond," (6), pp 1292–1301",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00194/20160615/images/large/ar-2016-00194m_0013.jpeg,"Matthew S. Sigman*, Kaid C. Harper, Elizabeth N. Bess, and Anat Milo",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00194.jpeg,/doi/abs/10.1021/acs.accounts.6b00194
49,2016,10.1021/acs.accounts.6b00093,Acc. Chem. Res.,New Mechanistic Insights on the Selectivity of Transition-Metal-Catalyzed Organic Reactions: The Role of Computational Chemistry," (6), pp 1302–1310",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00093/20160615/images/large/ar-2016-000932_0017.jpeg,"Xinhao Zhang, Lung Wa Chung, and Yun-Dong Wu*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00093.jpeg,/doi/abs/10.1021/acs.accounts.6b00093
49,2016,10.1021/acs.accounts.6b00068,Acc. Chem. Res.,Computation and Experiment: A Powerful Combination to Understand and Predict Reactivities," (6), pp 1311–1319",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00068/20160615/images/large/ar-2016-000689_0012.jpeg,"Theresa Sperger, Italo A. Sanhueza, and Franziska Schoenebeck*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00068.jpeg,/doi/abs/10.1021/acs.accounts.6b00068
49,2016,10.1021/acs.accounts.6b00008,Acc. Chem. Res.,Computational Approach to Diarylprolinol-Silyl Ethers in Aminocatalysis," (5), pp 974–986",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00008/20160511/images/large/ar-2016-000085_0040.jpeg,"Kim Søholm Halskov, Bjarke S. Donslund, Bruno Matos Paz, and Karl Anker Jørgensen*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00008.jpeg,/doi/abs/10.1021/acs.accounts.6b00008
49,2016,10.1021/acs.accounts.6b00033,Acc. Chem. Res.,Interplay between Theory and Experiment for Ammonia Synthesis Catalyzed by Transition Metal Complexes," (5), pp 987–995",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00033/20160511/images/large/ar-2016-00033h_0013.jpeg,"Hiromasa Tanaka, Yoshiaki Nishibayashi, and Kazunari Yoshizawa*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00033.jpeg,/doi/abs/10.1021/acs.accounts.6b00033
49,2016,10.1021/acs.accounts.6b00037,Acc. Chem. Res.,Prediction of Stereochemistry using Q2MM," (5), pp 996–1005",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00037/20160511/images/large/ar-2016-00037y_0023.jpeg,"Eric Hansen, Anthony R. Rosales, Brandon Tutkowski, Per-Ola Norrby, and Olaf Wiest*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00037.jpeg,/doi/abs/10.1021/acs.accounts.6b00037
